Datetime,USGS_flow
2014-01-01,
2014-01-02,
2014-01-03,
2014-01-04,
2014-01-05,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-11,
2014-01-12,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-18,
2014-01-19,
2014-01-20,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-25,
2014-01-26,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-01-31,
2014-02-01,
2014-02-02,
2014-02-03,
2014-02-04,
2014-02-05,
2014-02-06,
2014-02-07,
2014-02-08,
2014-02-09,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-15,
2014-02-16,
2014-02-17,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-22,
2014-02-23,33.116177
2014-02-24,33.943752
2014-02-25,33.423958
2014-02-26,34.402084
2014-02-27,32.975
2014-02-28,36.23125
2014-03-01,34.416668
2014-03-02,34.89896
2014-03-03,36.491665
2014-03-04,35.43021
2014-03-05,37.067856
2014-03-06,
2014-03-07,35.72353
2014-03-08,37.160713
2014-03-09,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-15,
2014-03-16,
2014-03-17,32.148613
2014-03-18,32.360416
2014-03-19,39.220833
2014-03-20,
2014-03-21,
2014-03-22,
2014-03-23,
2014-03-24,
2014-03-25,
2014-03-26,40.77639
2014-03-27,41.06875
2014-03-28,39.083332
2014-03-29,37.767708
2014-03-30,44.13125
2014-03-31,37.797916
2014-04-01,42.84271
2014-04-02,36.66354
2014-04-03,42.264584
2014-04-04,38.296875
2014-04-05,40.240623
2014-04-06,38.540627
2014-04-07,36.3375
2014-04-08,41.97604
2014-04-09,57.502083
2014-04-10,73.979164
2014-04-11,87.45937
2014-04-12,117.79271
2014-04-13,123.052086
2014-04-14,92.438545
2014-04-15,90.373955
2014-04-16,96.25
2014-04-17,94.15417
2014-04-18,128.04167
2014-04-19,155.69792
2014-04-20,188.32292
2014-04-21,238.63542
2014-04-22,309.3021
2014-04-23,389.8229
2014-04-24,283.8125
2014-04-25,294.6354
2014-04-26,319.59375
2014-04-27,252.09375
2014-04-28,215.125
2014-04-29,179.25
2014-04-30,179.9375
2014-05-01,175.89583
2014-05-02,230.22917
2014-05-03,349.03125
2014-05-04,523.125
2014-05-05,648.7083
2014-05-06,702.51044
2014-05-07,624.11456
2014-05-08,488.3125
2014-05-09,410.89584
2014-05-10,361.15625
2014-05-11,323.46875
2014-05-12,277.8646
2014-05-13,264.2396
2014-05-14,273.33334
2014-05-15,311.33334
2014-05-16,457.8854
2014-05-17,549.3333
2014-05-18,795.8958
2014-05-19,960.3333
2014-05-20,873.19794
2014-05-21,940.3333
2014-05-22,905.0208
2014-05-23,980.80206
2014-05-24,920.03125
2014-05-25,941.61456
2014-05-26,1126.6459
2014-05-27,1280.2084
2014-05-28,1445.7291
2014-05-29,1483.125
2014-05-30,1455.4166
2014-05-31,1312.8125
2014-06-01,1211.25
2014-06-02,1125.3125
2014-06-03,1131.5
2014-06-04,1131.4479
2014-06-05,933.9167
2014-06-06,931.2292
2014-06-07,831.09375
2014-06-08,822.3542
2014-06-09,678.48956
2014-06-10,670.11456
2014-06-11,669.5833
2014-06-12,637.5
2014-06-13,613.17706
2014-06-14,601.3542
2014-06-15,532.4167
2014-06-16,451.3125
2014-06-17,402.28125
2014-06-18,391.4479
2014-06-19,357.47916
2014-06-20,304.59375
