Datetime,USGS_flow
2014-01-01,
2014-01-02,
2014-01-03,
2014-01-04,
2014-01-05,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-11,
2014-01-12,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-18,
2014-01-19,
2014-01-20,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-25,
2014-01-26,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-01-31,
2014-02-01,
2014-02-02,
2014-02-03,
2014-02-04,
2014-02-05,
2014-02-06,
2014-02-07,
2014-02-08,
2014-02-09,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-15,
2014-02-16,
2014-02-17,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-22,
2014-02-23,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,
2014-02-28,
2014-03-01,
2014-03-02,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-08,
2014-03-09,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-15,
2014-03-16,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-22,
2014-03-23,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,32.281944
2014-03-28,31.120832
2014-03-29,
2014-03-30,31.870832
2014-03-31,30.946875
2014-04-01,32.25104
2014-04-02,28.9
2014-04-03,
2014-04-04,
2014-04-05,
2014-04-06,31.8875
2014-04-07,30.588541
2014-04-08,42.794792
2014-04-09,71.24479
2014-04-10,111.36146
2014-04-11,151.89583
2014-04-12,206.55208
2014-04-13,203.15625
2014-04-14,170.54167
2014-04-15,172.57292
2014-04-16,185.63542
2014-04-17,201.16667
2014-04-18,259.02084
2014-04-19,293.09375
2014-04-20,336.40625
2014-04-21,361.9896
2014-04-22,383.125
2014-04-23,387.5625
2014-04-24,367.52084
2014-04-25,378.08334
2014-04-26,383.2396
2014-04-27,335.33334
2014-04-28,299.2604
2014-04-29,266.5625
2014-04-30,259.375
2014-05-01,249.78125
2014-05-02,293.89584
2014-05-03,352.27084
2014-05-04,387.70834
2014-05-05,425.54166
2014-05-06,458.6979
2014-05-07,415.7396
2014-05-08,386.625
2014-05-09,365.35416
2014-05-10,334.33334
2014-05-11,295.95834
2014-05-12,294.5729
2014-05-13,342.20834
2014-05-14,291.08334
2014-05-15,320.4479
2014-05-16,381.45834
2014-05-17,405.2396
2014-05-18,610.9375
2014-05-19,780.8958
2014-05-20,716.5208
2014-05-21,798.92706
2014-05-22,771.01044
2014-05-23,856.23956
2014-05-24,813.80206
2014-05-25,730.2708
2014-05-26,908.0625
2014-05-27,1204.6875
2014-05-28,1392.7084
2014-05-29,1524.0625
2014-05-30,1425.0
2014-05-31,1268.2291
2014-06-01,1149.9271
2014-06-02,1037.375
2014-06-03,1061.2084
2014-06-04,1035.0938
2014-06-05,804.0417
2014-06-06,814.875
2014-06-07,723.61456
2014-06-08,718.96875
2014-06-09,547.88544
2014-06-10,560.57294
2014-06-11,571.42706
2014-06-12,555.7083
2014-06-13,557.9375
2014-06-14,529.4375
2014-06-15,436.375
2014-06-16,385.9375
2014-06-17,373.97916
2014-06-18,373.65625
2014-06-19,360.27084
2014-06-20,316.625
2014-06-21,316.5729
2014-06-22,319.8646
2014-06-23,307.72916
2014-06-24,303.6979
2014-06-25,304.78125
2014-06-26,302.0521
2014-06-27,341.96875
