Datetime,USGS_flow
2014-01-01,856.7174
2014-01-02,857.86456
2014-01-03,854.6042
2014-01-04,857.01044
2014-01-05,857.3125
2014-01-06,856.5319
2014-01-07,859.0
2014-01-08,860.13544
2014-01-09,856.375
2014-01-10,855.375
2014-01-11,856.1875
2014-01-12,859.0
2014-01-13,857.8125
2014-01-14,859.375
2014-01-15,858.6875
2014-01-16,857.625
2014-01-17,855.6875
2014-01-18,854.6875
2014-01-19,855.2105
2014-01-20,854.34045
2014-01-21,852.2421
2014-01-22,847.2421
2014-01-23,845.9792
2014-01-24,848.44794
2014-01-25,849.0417
2014-01-26,849.4375
2014-01-27,854.3579
2014-01-28,858.9895
2014-01-29,856.65625
2014-01-30,855.0625
2014-01-31,855.76843
2014-02-01,858.49475
2014-02-02,858.75
2014-02-03,857.40625
2014-02-04,840.1875
2014-02-05,840.23157
2014-02-06,842.1064
2014-02-07,837.67706
2014-02-08,836.9053
2014-02-09,837.4167
2014-02-10,837.8542
2014-02-11,837.0208
2014-02-12,839.13544
2014-02-13,839.75
2014-02-14,841.75
2014-02-15,841.4375
2014-02-16,841.4375
2014-02-17,839.3125
2014-02-18,840.0833
2014-02-19,838.5
2014-02-20,839.0625
2014-02-21,857.7917
2014-02-22,844.92706
2014-02-23,837.7292
2014-02-24,837.76044
2014-02-25,841.9375
2014-02-26,842.0625
2014-02-27,842.78125
2014-02-28,840.1875
2014-03-01,840.5625
2014-03-02,838.1875
2014-03-03,839.4792
2014-03-04,825.5833
2014-03-05,826.75
2014-03-06,826.94794
2014-03-07,827.2708
2014-03-08,826.9375
2014-03-09,827.9167
2014-03-10,829.5208
2014-03-11,829.1042
2014-03-12,836.0208
2014-03-13,829.0625
2014-03-14,829.61456
2014-03-15,829.3958
2014-03-16,830.3958
2014-03-17,846.13544
2014-03-18,861.5625
2014-03-19,863.0625
2014-03-20,878.26044
2014-03-21,876.875
2014-03-22,877.6875
2014-03-23,877.6875
2014-03-24,849.4433
2014-03-25,862.3958
2014-03-26,845.1134
2014-03-27,865.3333
2014-03-28,863.625
2014-03-29,866.61456
2014-03-30,868.65625
2014-03-31,867.8542
2014-04-01,870.26044
2014-04-02,878.5625
2014-04-03,880.25
2014-04-04,879.125
2014-04-05,878.5625
2014-04-06,876.3158
2014-04-07,882.96875
2014-04-08,872.42706
2014-04-09,872.65265
2014-04-10,872.71576
2014-04-11,873.01044
2014-04-12,872.25
2014-04-13,875.6875
2014-04-14,875.4375
2014-04-15,895.21875
2014-04-16,877.13544
2014-04-17,875.1875
2014-04-18,874.9375
2014-04-19,870.6042
2014-04-20,873.21875
2014-04-21,873.4375
2014-04-22,1151.5521
2014-04-23,1067.6354
2014-04-24,860.5
2014-04-25,859.875
2014-04-26,860.9375
2014-04-27,861.1875
2014-04-28,860.625
2014-04-29,864.3542
2014-04-30,866.71875
2014-05-01,866.59796
2014-05-02,860.0625
2014-05-03,861.1875
2014-05-04,860.25
2014-05-05,861.625
2014-05-06,862.4105
2014-05-07,862.69476
2014-05-08,867.9792
2014-05-09,870.01044
2014-05-10,870.375
2014-05-11,872.9375
2014-05-12,872.05206
2014-05-13,868.6875
2014-05-14,867.03125
2014-05-15,866.8125
2014-05-16,866.71875
2014-05-17,867.6042
2014-05-18,867.375
2014-05-19,867.9583
2014-05-20,870.8542
2014-05-21,871.0833
2014-05-22,869.82294
2014-05-23,867.1667
2014-05-24,867.2292
2014-05-25,866.6042
2014-05-26,869.4375
2014-05-27,867.6042
2014-05-28,871.3542
2014-05-29,873.3125
2014-05-30,901.67706
2014-05-31,1617.0834
2014-06-01,2334.5833
2014-06-02,3985.6843
2014-06-03,4644.7915
2014-06-04,4646.1055
2014-06-05,4645.4165
2014-06-06,6227.0527
2014-06-07,9090.31
2014-06-08,9074.2705
2014-06-09,9034.375
2014-06-10,8809.6875
2014-06-11,8676.739
2014-06-12,8601.042
2014-06-13,8624.583
2014-06-14,8616.9795
2014-06-15,8625.3125
2014-06-16,8186.5625
2014-06-17,6350.729
2014-06-18,4718.646
2014-06-19,4273.021
2014-06-20,3795.625
2014-06-21,3235.3125
2014-06-22,2700.2083
2014-06-23,2198.8542
2014-06-24,1749.375
2014-06-25,1699.375
2014-06-26,1707.6041
2014-06-27,1714.0625
2014-06-28,1713.6459
2014-06-29,1712.2916
2014-06-30,1708.75
2014-07-01,1712.7084
2014-07-02,1724.1666
2014-07-03,1753.2291
2014-07-04,1773.3334
2014-07-05,1771.7709
2014-07-06,1768.0
2014-07-07,1770.421
2014-07-08,1766.3541
2014-07-09,1761.4584
2014-07-10,1715.9375
2014-07-11,1704.0625
2014-07-12,1702.2916
2014-07-13,1607.0209
2014-07-14,1692.0834
2014-07-15,1694.6316
2014-07-16,1692.1875
2014-07-17,1701.3684
2014-07-18,1699.375
2014-07-19,1701.5625
2014-07-20,1704.0625
2014-07-21,1705.9375
2014-07-22,1709.5834
2014-07-23,1709.5834
2014-07-24,1709.4791
2014-07-25,1707.9788
2014-07-26,1714.9474
2014-07-27,1711.0526
2014-07-28,1712.7084
2014-07-29,1755.5209
2014-07-30,1817.8125
2014-07-31,1855.0
2014-08-01,1895.7291
2014-08-02,1940.5209
2014-08-03,2002.0834
2014-08-04,2013.9584
2014-08-05,2014.5834
2014-08-06,2010.5264
2014-08-07,2008.6459
2014-08-08,2008.125
2014-08-09,2008.0209
2014-08-10,2005.8334
2014-08-11,2008.2291
2014-08-12,2009.7894
2014-08-13,2010.4166
2014-08-14,2015.1041
2014-08-15,2015.9375
2014-08-16,2012.9166
2014-08-17,2012.8125
2014-08-18,2017.1875
2014-08-19,2022.5
2014-08-20,2021.4584
2014-08-21,2019.4791
2014-08-22,2020.5209
2014-08-23,2021.7709
2014-08-24,2020.4166
2014-08-25,2019.7916
2014-08-26,2009.1666
2014-08-27,2016.7709
2014-08-28,2016.1459
2014-08-29,2011.6666
2014-08-30,2008.9474
2014-08-31,2014.2709
2014-09-01,2011.6666
2014-09-02,2016.25
2014-09-03,1968.4375
2014-09-04,2063.75
2014-09-05,2019.2632
2014-09-06,2016.5625
2014-09-07,2018.125
2014-09-08,1933.3334
2014-09-09,1739.0625
2014-09-10,1774.8959
2014-09-11,1978.8541
2014-09-12,1982.5
2014-09-13,1980.0
2014-09-14,1979.2709
2014-09-15,1979.5834
2014-09-16,1978.9584
2014-09-17,1977.6041
2014-09-18,1978.8541
2014-09-19,1973.8948
2014-09-20,1983.0526
2014-09-21,1981.25
2014-09-22,1982.5
2014-09-23,1982.6041
2014-09-24,1986.1459
2014-09-25,1986.1459
2014-09-26,1984.4791
2014-09-27,1982.8125
2014-09-28,1985.7894
2014-09-29,1991.4584
2014-09-30,1987.9166
2014-10-01,1985.0526
2014-10-02,1984.7916
2014-10-03,2017.7084
2014-10-04,1953.2291
2014-10-05,1903.125
2014-10-06,1856.875
2014-10-07,1814.4791
2014-10-08,1773.8541
2014-10-09,1712.2106
2014-10-10,1656.4584
2014-10-11,1605.7291
2014-10-12,1558.9584
2014-10-13,1515.1041
2014-10-14,1470.9791
2014-10-15,1383.1562
2014-10-16,1335.9062
2014-10-17,1315.0416
2014-10-18,1318.1041
2014-10-19,1320.5834
2014-10-20,1314.5104
2014-10-21,1299.5
2014-10-22,1307.4062
2014-10-23,1319.2709
2014-10-24,1320.1041
2014-10-25,1314.4062
2014-10-26,1318.0834
2014-10-27,1314.4584
2014-10-28,1315.5312
2014-10-29,1314.1146
2014-10-30,1334.125
2014-10-31,1321.5521
2014-11-01,1324.625
2014-11-02,1334.8021
2014-11-03,1335.8125
2014-11-04,1341.7709
2014-11-05,1323.6666
2014-11-06,1335.4791
2014-11-07,1333.7291
2014-11-08,1324.7916
2014-11-09,1329.6421
2014-11-10,1333.8541
2014-11-11,1327.1562
2014-11-12,1321.5209
2014-11-13,1324.4166
2014-11-14,1318.8959
2014-11-15,1321.3438
2014-11-16,1309.6489
2014-11-17,1317.0319
2014-11-18,1325.3723
2014-11-19,1328.3125
2014-11-20,1325.1771
2014-11-21,1321.3579
2014-11-22,1319.4166
2014-11-23,1320.7709
2014-11-24,1317.3646
2014-11-25,1320.6179
2014-11-26,1319.6
2014-11-27,1322.3125
2014-11-28,1317.3191
2014-11-29,1312.1562
2014-11-30,1328.2527
2014-12-01,1334.4736
2014-12-02,1406.3438
2014-12-03,1453.1041
2014-12-04,1495.9896
2014-12-05,1538.9375
2014-12-06,1591.6041
2014-12-07,1641.625
2014-12-08,1697.7084
2014-12-09,1746.875
2014-12-10,1792.9166
2014-12-11,1841.2632
2014-12-12,1905.4166
2014-12-13,1955.4166
2014-12-14,2031.7709
2014-12-15,2060.3125
2014-12-16,2015.625
2014-12-17,1979.4791
2014-12-18,1976.3158
2014-12-19,1988.3334
2014-12-20,1984.7916
2014-12-21,1973.0526
2014-12-22,1979.5834
2014-12-23,1983.8298
2014-12-24,1966.1459
2014-12-25,2040.7368
2014-12-26,2051.6667
2014-12-27,2057.3958
2014-12-28,2058.2292
2014-12-29,2058.6458
